第0题的答案：	442'11/67
第1题的答案：	320
第2题的答案：	-504
第3题的答案：	596440
第4题的答案：	70844196
第5题的答案：	532/577
第6题的答案：	3404800
第7题的答案：	3'73/232
第8题的答案：	-233735/364
第9题的答案：	90512
第10题的答案：	91772
第11题的答案：	-29835/214
第12题的答案：	162
第13题的答案：	1'137/150
第14题的答案：	-157523/213
第15题的答案：	3'26/301
第16题的答案：	-187
第17题的答案：	248539
第18题的答案：	239889794
第19题的答案：	1002
第20题的答案：	-109914
第21题的答案：	-859
第22题的答案：	5844
第23题的答案：	-1358
第24题的答案：	-772
第25题的答案：	-193083
第26题的答案：	308079
第27题的答案：	185/118503
第28题的答案：	41
第29题的答案：	19/118
第30题的答案：	733/745
第31题的答案：	1132'156/713
第32题的答案：	43'771/958
第33题的答案：	207
第34题的答案：	1961
第35题的答案：	521256
第36题的答案：	1592'8/325
第37题的答案：	-309
第38题的答案：	43/633
第39题的答案：	123690
第40题的答案：	246'40/83
第41题的答案：	-25962
第42题的答案：	323068732
第43题的答案：	33/2432
第44题的答案：	104/699
第45题的答案：	258982
第46题的答案：	106'127/860
第47题的答案：	486
第48题的答案：	511625
第49题的答案：	337
第50题的答案：	137'15/34
第51题的答案：	783'22/413
第52题的答案：	-273
第53题的答案：	-869/28
第54题的答案：	945
第55题的答案：	207'191/412
第56题的答案：	123617
第57题的答案：	25967
第58题的答案：	92'124/229
第59题的答案：	112
第60题的答案：	464
第61题的答案：	68
第62题的答案：	81271
第63题的答案：	776
第64题的答案：	1905
第65题的答案：	2'73/103
第66题的答案：	265/184426
第67题的答案：	487'2/5
第68题的答案：	1134'2/9
第69题的答案：	470/190933
第70题的答案：	281792
第71题的答案：	-927297
第72题的答案：	308'494/771
第73题的答案：	175
第74题的答案：	146'22/119
第75题的答案：	727/803
第76题的答案：	76329
第77题的答案：	-476855
第78题的答案：	289
第79题的答案：	10/87
第80题的答案：	761'47/49
第81题的答案：	196757
第82题的答案：	-25586
第83题的答案：	260820
第84题的答案：	30179
第85题的答案：	789'133/353
第86题的答案：	1065
