四则运算题目.0	456/410=
四则运算题目.1	309/784+771=
四则运算题目.2	387*363-335=
四则运算题目.3	1000*847-951=
四则运算题目.4	948/335=
四则运算题目.5	248-329+20=
四则运算题目.6	302-937/683=
四则运算题目.7	540-586*594=
四则运算题目.8	34/923+485=
四则运算题目.9	288+655=
四则运算题目.10	667*79*4=
四则运算题目.11	918/979-597=
四则运算题目.12	703+987+418=
四则运算题目.13	840/637=
四则运算题目.14	42/561=
四则运算题目.15	849+286*380=
四则运算题目.16	218-124=
四则运算题目.17	378-175=
四则运算题目.18	672*227*775=
四则运算题目.19	490/303+579=
四则运算题目.20	4+455-221=
四则运算题目.21	397+260+754=
四则运算题目.22	67*42/872=
四则运算题目.23	255+250=
四则运算题目.24	609-967/566=
四则运算题目.25	280*903=
四则运算题目.26	938/518=
四则运算题目.27	368/396*639=
四则运算题目.28	428-423+958=
四则运算题目.29	826-201=
四则运算题目.30	485*758-819=
四则运算题目.31	734+113*482=
四则运算题目.32	107+535=
四则运算题目.33	305+841-152=
四则运算题目.34	247*115/622=
四则运算题目.35	178*684=
四则运算题目.36	218*534+659=
四则运算题目.37	426/422=
四则运算题目.38	637-434=
四则运算题目.39	49-242=
四则运算题目.40	693-818=
四则运算题目.41	646-536*10=
四则运算题目.42	488/990+917=
四则运算题目.43	838*355-490=
四则运算题目.44	549-402/270=
四则运算题目.45	354+113+93=
四则运算题目.46	803-628+448=
四则运算题目.47	573-58-917=
四则运算题目.48	682/718-44=
四则运算题目.49	160+165-875=
四则运算题目.50	187+651=
四则运算题目.51	337-186/597=
四则运算题目.52	659+814=
四则运算题目.53	833-111/449=
四则运算题目.54	634/391/733=
四则运算题目.55	748-767-147=
四则运算题目.56	942+25=
四则运算题目.57	105/964=
四则运算题目.58	205+47/688=
四则运算题目.59	108/188*929=
四则运算题目.60	787*3+26=
四则运算题目.61	81-472*569=
四则运算题目.62	888/196/198=
四则运算题目.63	776*416/465=
四则运算题目.64	257-703=
四则运算题目.65	299/236/931=
四则运算题目.66	771+351+64=
四则运算题目.67	240-650-448=
四则运算题目.68	790-603+267=
四则运算题目.69	1000/158=
四则运算题目.70	278/52=
四则运算题目.71	86+303=
四则运算题目.72	848+693+184=
四则运算题目.73	705*54-715=
四则运算题目.74	427+116+220=
四则运算题目.75	539+376*999=
四则运算题目.76	148-771*534=
四则运算题目.77	352+363/516=
四则运算题目.78	831+369=
四则运算题目.79	97-519=
四则运算题目.80	209+517=
四则运算题目.81	278-850/893=
四则运算题目.82	164-922*970=
四则运算题目.83	614/893=
四则运算题目.84	960/959=
四则运算题目.85	931-10+673=
四则运算题目.86	199*23/910=
四则运算题目.87	676*38=
四则运算题目.88	884/139=
四则运算题目.89	878*707=
四则运算题目.90	953*701=
四则运算题目.91	130+515-934=
四则运算题目.92	183-403=
四则运算题目.93	933+162=
四则运算题目.94	526/130=
四则运算题目.95	196/33/458=
四则运算题目.96	537/966*816=
四则运算题目.97	470*735-140=
四则运算题目.98	314-67*878=
四则运算题目.99	999+770/470=
四则运算题目.100	831*501=
四则运算题目.101	587-404=
四则运算题目.102	404+770*939=
四则运算题目.103	553-237*574=
四则运算题目.104	990*880*723=
四则运算题目.105	776-617=
四则运算题目.106	902+140=
四则运算题目.107	969*420*314=
四则运算题目.108	20/843/519=
四则运算题目.109	273/727-344=
四则运算题目.110	895+891=
四则运算题目.111	381-946=
四则运算题目.112	540-910=
四则运算题目.113	31/820=
四则运算题目.114	684*788-166=
四则运算题目.115	632/778+60=
四则运算题目.116	735-294=
四则运算题目.117	953+914/26=
四则运算题目.118	878/700-494=
四则运算题目.119	469*168+354=
四则运算题目.120	397+829+996=
四则运算题目.121	58/187=
四则运算题目.122	706/803*939=
四则运算题目.123	833+917=
四则运算题目.124	153/942+971=
四则运算题目.125	119-756=
四则运算题目.126	393*414/433=
四则运算题目.127	406-239=
四则运算题目.128	179-242=
四则运算题目.129	881-858=
四则运算题目.130	318-723+21=
四则运算题目.131	886-943=
四则运算题目.132	468+419/948=
四则运算题目.133	437*955*825=
四则运算题目.134	50-736=
四则运算题目.135	244-409/372=
四则运算题目.136	211+897+938=
四则运算题目.137	646-816-162=
四则运算题目.138	183-454+239=
四则运算题目.139	493/120=
四则运算题目.140	861*522/597=
四则运算题目.141	497/528=
四则运算题目.142	57*103=
四则运算题目.143	308-40-112=
四则运算题目.144	653/175+338=
四则运算题目.145	686/563-689=
四则运算题目.146	713-95=
四则运算题目.147	54-517=
四则运算题目.148	567/411=
四则运算题目.149	462-639/420=
四则运算题目.150	553+116+449=
四则运算题目.151	357-158-855=
四则运算题目.152	400/874-629=
四则运算题目.153	2+862=
四则运算题目.154	580*662/807=
四则运算题目.155	460-233/759=
四则运算题目.156	760+593=
四则运算题目.157	880-764/551=
四则运算题目.158	64+291=
四则运算题目.159	397*247-864=
四则运算题目.160	46*385=
四则运算题目.161	270*703-291=
四则运算题目.162	467/922+380=
四则运算题目.163	845/357/718=
四则运算题目.164	961/788=
四则运算题目.165	112-257=
四则运算题目.166	966*162-446=
四则运算题目.167	87+38=
四则运算题目.168	660-485/261=
四则运算题目.169	911/525-956=
四则运算题目.170	930/476-640=
四则运算题目.171	36-149+803=
四则运算题目.172	444+87-645=
四则运算题目.173	750*698*535=
四则运算题目.174	50+999+960=
四则运算题目.175	258/581=
四则运算题目.176	28*810-744=
四则运算题目.177	639*918+323=
四则运算题目.178	484+721=
四则运算题目.179	596-96=
四则运算题目.180	262-448=
四则运算题目.181	45*746+940=
四则运算题目.182	868*569-805=
四则运算题目.183	298*638=
四则运算题目.184	32+396*564=
四则运算题目.185	743*155-822=
四则运算题目.186	165-630=
四则运算题目.187	402/60+741=
四则运算题目.188	995*364=
四则运算题目.189	488+709+764=
四则运算题目.190	45+128-491=
四则运算题目.191	852/539*152=
四则运算题目.192	562*68*291=
四则运算题目.193	605*25/610=
四则运算题目.194	665*391-194=
四则运算题目.195	137-721-464=
四则运算题目.196	639-497+741=
四则运算题目.197	711*772+171=
四则运算题目.198	569+483+985=
四则运算题目.199	616*168*860=
四则运算题目.200	244+173/946=
四则运算题目.201	903/325-142=
四则运算题目.202	695/732-600=
四则运算题目.203	930-37=
四则运算题目.204	390/670+698=
四则运算题目.205	597-291-665=
四则运算题目.206	535-327=
四则运算题目.207	132/887+230=
四则运算题目.208	337-223*287=
四则运算题目.209	470/983/846=
四则运算题目.210	359+416-496=
四则运算题目.211	129/735/81=
四则运算题目.212	970-628=
四则运算题目.213	50-211*514=
四则运算题目.214	581*967/486=
四则运算题目.215	178/685=
四则运算题目.216	252-384*319=
四则运算题目.217	484*895*790=
四则运算题目.218	647/858=
四则运算题目.219	653*557/340=
四则运算题目.220	723/842+312=
四则运算题目.221	497+513*255=
四则运算题目.222	947*325=
四则运算题目.223	429+518*240=
四则运算题目.224	815-789-72=
四则运算题目.225	857-673/574=
四则运算题目.226	997+39/83=
四则运算题目.227	782-474=
四则运算题目.228	193/126=
四则运算题目.229	435*810+675=
四则运算题目.230	605*229-430=
四则运算题目.231	357+975=
四则运算题目.232	551-898+366=
四则运算题目.233	437*401+380=
四则运算题目.234	73*414*937=
四则运算题目.235	891/99+899=
四则运算题目.236	302/911/874=
四则运算题目.237	162/756-159=
四则运算题目.238	316+377=
四则运算题目.239	970+853/4=
四则运算题目.240	198+593+807=
四则运算题目.241	146/386=
四则运算题目.242	415/537=
四则运算题目.243	719-128/443=
四则运算题目.244	1000-102*996=
四则运算题目.245	145+99*397=
四则运算题目.246	571/791=
四则运算题目.247	133-435+678=
四则运算题目.248	564+85*968=
四则运算题目.249	972+214*297=
四则运算题目.250	943*492=
四则运算题目.251	760-863-2=
四则运算题目.252	921/741=
四则运算题目.253	553/364/889=
四则运算题目.254	448/217+217=
四则运算题目.255	273*258-908=
四则运算题目.256	190+860*412=
四则运算题目.257	66-519*642=
四则运算题目.258	501*89=
四则运算题目.259	779/383*270=
四则运算题目.260	398*589=
四则运算题目.261	27*636=
四则运算题目.262	159/920/445=
四则运算题目.263	501+972=
四则运算题目.264	912+963*368=
四则运算题目.265	941*870+733=
四则运算题目.266	100/251-485=
四则运算题目.267	439-307=
四则运算题目.268	538*739+429=
四则运算题目.269	258*505=
四则运算题目.270	539*367*165=
四则运算题目.271	665/454*582=
四则运算题目.272	43*150=
四则运算题目.273	640+113/509=
四则运算题目.274	44+687=
四则运算题目.275	779+119/198=
四则运算题目.276	277*544=
四则运算题目.277	359/404=
四则运算题目.278	888*742=
四则运算题目.279	114+382/573=
四则运算题目.280	90+208+482=
四则运算题目.281	765+851=
四则运算题目.282	240+646+523=
四则运算题目.283	344*655/656=
四则运算题目.284	534/156*129=
四则运算题目.285	919*130-424=
四则运算题目.286	265+209=
四则运算题目.287	348-802+897=
四则运算题目.288	471-860*65=
四则运算题目.289	734+836*536=
四则运算题目.290	826-747+449=
四则运算题目.291	149*611/234=
四则运算题目.292	544-642/929=
四则运算题目.293	428+292-12=
四则运算题目.294	498+635+510=
四则运算题目.295	336-739=
四则运算题目.296	103*878=
四则运算题目.297	327-584+544=
四则运算题目.298	20-301=
四则运算题目.299	407-429=
四则运算题目.300	680*545=
四则运算题目.301	43*502=
四则运算题目.302	612+237*215=
四则运算题目.303	420*572*61=
四则运算题目.304	709+912+919=
四则运算题目.305	658+9+180=
四则运算题目.306	370*248/544=
四则运算题目.307	469-79-776=
四则运算题目.308	942/342=
四则运算题目.309	776-655=
四则运算题目.310	852-283-77=
四则运算题目.311	600/443=
四则运算题目.312	925*188=
四则运算题目.313	889-518+29=
四则运算题目.314	3/248-687=
四则运算题目.315	360/320+298=
四则运算题目.316	235-431/607=
四则运算题目.317	56*524-998=
四则运算题目.318	697-429/773=
四则运算题目.319	874+398+769=
四则运算题目.320	458-448-157=
四则运算题目.321	580-143-646=
四则运算题目.322	565-276=
四则运算题目.323	535/476=
四则运算题目.324	776-390+571=
四则运算题目.325	898-806*40=
四则运算题目.326	454+701/798=
四则运算题目.327	41/552*442=
四则运算题目.328	313*457+407=
四则运算题目.329	917+668*139=
四则运算题目.330	920-717-634=
四则运算题目.331	826*745-565=
四则运算题目.332	910-557/810=
四则运算题目.333	536-388=
四则运算题目.334	74/961=
四则运算题目.335	736-247/352=
四则运算题目.336	165*833-736=
四则运算题目.337	438+415=
四则运算题目.338	482/991+450=
四则运算题目.339	544+829/416=
